		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  231  251  224  241  252  211  234  232  8.656048 0.372137 SUCCESS   0
000000011  225  270  230  246  250  243  216  242  8.768320 0.362216 SUCCESS   1
000000101  242  229  239  245  223  245  235  249  3.450239 0.903017 SUCCESS   2
000000111  236  233  237  227  245  246  217  254  5.810064 0.668498 SUCCESS   3
000001001  222  267  249  228  264  221  256  262 11.383405 0.180907 SUCCESS   4
000001011  254  244  246  260  225  218  249  252  6.300459 0.613615 SUCCESS   5
000001101  241  246  234  215  231  244  228  233  6.440269 0.598040 SUCCESS   6
000001111  244  227  253  261  248  247  224  260  5.664958 0.684703 SUCCESS   7
000010001  248  242  249  229  252  242  209  216 10.012842 0.264126 SUCCESS   8
000010011  256  254  233  245  241  231  259  258  4.062438 0.851447 SUCCESS   9
000010101  257  234  229  232  234  226  221  243  6.825806 0.555538 SUCCESS  10
000010111  248  253  248  241  227  249  256  239  2.554183 0.959156 SUCCESS  11
000011001  233  245  259  268  265  256  247  218  9.250241 0.321628 SUCCESS  12
000011011  238  225  244  223  251  233  244  219  6.998450 0.536800 SUCCESS  13
000011101  222  247  232  255  253  262  247  217  8.072446 0.426426 SUCCESS  14
000011111  253  239  241  238  233  252  238  260  2.659040 0.953902 SUCCESS  15
000100011  241  242  274  246  263  280  217  229 14.905137 0.061016 SUCCESS  16
000100101  232  267  215  228  297  252  238  248 19.865219 0.010858 SUCCESS  17
000100111  232  257  237  224  254  203  272  234 14.560908 0.068267 SUCCESS  18
000101001  244  222  250  247  229  262  228  234  6.114045 0.634459 SUCCESS  19
000101011  253  216  204  211  236  245  262  241 16.832822 0.031898 SUCCESS  20
000101101  250  239  258  252  254  242  243  246  1.788405 0.986826 SUCCESS  21
000101111  255  269  242  226  235  247  248  249  5.085594 0.748390 SUCCESS  22
000110011  225  241  249  235  268  233  274  207 14.604334 0.067311 SUCCESS  23
000110101  261  239  218  280  233  261  218  209 19.511457 0.012351 SUCCESS  24
000110111  257  251  237  245  248  229  259  238  3.250056 0.917699 SUCCESS  25
000111001  243  237  264  247  271  224  224  239  8.532125 0.383287 SUCCESS  26
000111011  239  230  267  253  258  269  269  248  9.629423 0.292004 SUCCESS  27
000111101  241  245  271  252  224  255  250  263  7.239941 0.510980 SUCCESS  28
000111111  237  241  243  219  253  245  242  263  4.801737 0.778541 SUCCESS  29
001000011  242  240  231  252  255  246  242  233  2.143226 0.976303 SUCCESS  30
001000101  235  237  234  257  238  224  241  244  3.620765 0.889618 SUCCESS  31
001000111  238  247  275  241  279  274  235  233 14.085341 0.079568 SUCCESS  32
001001011  238  268  237  233  279  244  247  255  9.002396 0.342094 SUCCESS  33
001001101  256  262  222  270  241  243  250  258  7.870145 0.446257 SUCCESS  34
001001111  252  255  219  255  239  247  280  253  9.871972 0.274127 SUCCESS  35
001010011  243  224  259  264  238  264  274  232 10.568905 0.227342 SUCCESS  36
001010101  251  250  240  231  243  229  251  259  3.260648 0.916952 SUCCESS  37
001010111  223  217  200  230  231  248  242  235 15.267372 0.054150 SUCCESS  38
001011011  245  267  265  252  246  229  238  252  5.734863 0.676903 SUCCESS  39
001011101  231  255  251  230  226  246  226  225  6.624564 0.577626 SUCCESS  40
001011111  255  266  227  251  234  256  239  250  5.260356 0.729421 SUCCESS  41
001100101  251  230  250  256  228  250  237  253  3.585812 0.892429 SUCCESS  42
001100111  236  261  238  261  242  230  241  225  5.306960 0.724320 SUCCESS  43
001101011  255  267  226  263  237  248  253  228  7.333147 0.501152 SUCCESS  44
001101101  227  245  229  246  223  240  257  240  4.966967 0.761101 SUCCESS  45
001101111  266  242  258  240  216  238  245  246  6.462512 0.595569 SUCCESS  46
001110101  228  257  240  242  241  260  244  212  7.376573 0.496601 SUCCESS  47
001110111  252  237  256  252  255  241  253  271  5.274125 0.727916 SUCCESS  48
001111011  257  245  250  271  232  257  233  253  6.094980 0.636593 SUCCESS  49
001111101  258  239  236  228  240  270  257  232  6.541949 0.586758 SUCCESS  50
001111111  263  247  267  233  273  252  259  250  9.164448 0.328614 SUCCESS  51
010000011  246  224  243  279  229  244  245  241  7.902980 0.443004 SUCCESS  52
010000111  234  244  245  255  248  261  257  242  2.930187 0.938662 SUCCESS  53
010001011  264  255  250  229  253  234  253  251  4.592021 0.800158 SUCCESS  54
010001111  244  241  281  226  253  262  247  259  9.853966 0.275426 SUCCESS  55
010010011  236  226  223  286  246  251  256  270 14.640345 0.066528 SUCCESS  56
010010111  227  265  258  227  275  260  233  234 11.211819 0.189984 SUCCESS  57
010011011  268  252  245  239  225  228  225  228  8.094689 0.424276 SUCCESS  58
010011111  241  237  258  251  254  283  271  252 11.410943 0.179484 SUCCESS  59
010100011  250  244  224  209  251  235  265  238  9.647429 0.290649 SUCCESS  60
010100111  226  246  268  272  248  230  244  236  8.302286 0.404513 SUCCESS  61
010101011  248  231  239  224  269  215  243  263 10.350716 0.241268 SUCCESS  62
010101111  246  228  225  219  244  218  256  273 12.362076 0.135765 SUCCESS  63
010110011  252  243  263  244  248  237  243  267  4.278508 0.831162 SUCCESS  64
010110111  266  270  235  257  249  223  251  235  8.463279 0.389571 SUCCESS  65
010111011  213  246  230  226  250  236  235  245  7.138261 0.521792 SUCCESS  66
010111111  245  264  209  251  218  237  243  271 13.276137 0.102695 SUCCESS  67
011000111  227  225  265  226  249  275  258  267 13.201996 0.105086 SUCCESS  68
011001111  263  246  254  243  254  225  252  231  4.898121 0.768408 SUCCESS  69
011010111  235  255  214  232  249  254  246  226  7.242059 0.510756 SUCCESS  70
011011111  274  252  235  252  226  246  227  239  7.419999 0.492068 SUCCESS  71
011101111  269  229  267  253  244  232  260  260  8.899656 0.350831 SUCCESS  72
011111111  283  269  252  239  259  231  245  239 11.180044 0.191705 SUCCESS  73
100000000  231  251  224  241  252  211  234  232  8.656048 0.372137 SUCCESS  74
100010000  253  261  240  239  243  228  240  233  3.426937 0.904785 SUCCESS  75
100100000  250  251  251  239  242  244  251  251  1.077703 0.997708 SUCCESS  76
100101000  253  237  248  215  238  241  266  243  6.439210 0.598158 SUCCESS  77
100110000  245  226  257  262  233  239  238  236  4.525294 0.806897 SUCCESS  78
100111000  239  234  240  255  265  233  248  237  3.767989 0.877426 SUCCESS  79
101000000  258  225  232  254  231  250  214  243  8.127523 0.421114 SUCCESS  80
101000100  252  263  263  269  234  244  285  243 13.421243 0.098155 SUCCESS  81
101001000  224  253  249  236  249  248  202  254 10.525479 0.230062 SUCCESS  82
101001100  234  230  233  274  217  260  255  224 11.987130 0.151779 SUCCESS  83
101010000  233  219  252  240  244  245  237  234  4.186360 0.839930 SUCCESS  84
101010100  236  223  254  262  247  239  223  239  6.085448 0.637661 SUCCESS  85
101011000  246  257  242  273  233  262  240  269  8.840343 0.355943 SUCCESS  86
101011100  248  240  223  223  239  260  225  245  6.648925 0.574940 SUCCESS  87
101100000  237  262  265  232  255  216  275  226 13.320622 0.101284 SUCCESS  88
101100100  265  235  259  248  257  255  242  245  4.425732 0.816817 SUCCESS  89
101101000  243  262  235  252  255  253  238  252  3.230991 0.919036 SUCCESS  90
101101100  257  232  263  212  235  257  228  230 10.208788 0.250677 SUCCESS  91
101110000  248  258  250  233  250  243  214  228  6.647866 0.575057 SUCCESS  92
101110100  227  288  225  259  244  234  240  218 15.283260 0.053866 SUCCESS  93
101111000  269  254  232  229  246  229  224  249  7.427413 0.491296 SUCCESS  94
101111100  250  241  229  238  241  254  245  230  2.618792 0.955961 SUCCESS  95
110000000  216  256  239  232  252  212  217  235 12.787861 0.119360 SUCCESS  96
110000010  276  283  229  253  232  247  240  256 13.337569 0.100751 SUCCESS  97
110000100  247  230  252  248  247  235  250  263  3.250056 0.917699 SUCCESS  98
110001000  242  257  231  254  255  262  219  233  6.917954 0.545510 SUCCESS  99
110001010  247  224  241  232  245  258  252  236  3.776462 0.876708 SUCCESS 100
110010000  248  224  225  259  257  240  268  267  9.672849 0.288742 SUCCESS 101
110010010  242  245  239  266  262  268  235  238  6.441328 0.597923 SUCCESS 102
110010100  244  227  265  250  239  253  266  242  5.726390 0.677849 SUCCESS 103
110011000  264  222  252  244  222  226  238  235  7.987713 0.434671 SUCCESS 104
110011010  229  239  248  261  237  255  258  228  4.983914 0.759294 SUCCESS 105
110100000  250  235  234  263  247  250  223  235  4.867405 0.771650 SUCCESS 106
110100010  265  242  258  243  242  270  292  260 16.320185 0.038020 SUCCESS 107
110100100  234  251  245  240  221  243  228  247  4.117514 0.846368 SUCCESS 108
110101000  230  258  242  234  245  249  262  239  3.683256 0.884511 SUCCESS 109
110101010  233  204  253  255  273  225  215  243 16.861420 0.031585 SUCCESS 110
110101100  243  256  241  258  214  248  266  255  7.896625 0.443633 SUCCESS 111
110110000  249  243  258  217  241  238  253  236  4.852577 0.773211 SUCCESS 112
110110010  265  235  269  217  249  275  242  246 12.111053 0.146317 SUCCESS 113
110110100  243  265  248  277  264  257  264  238 10.702360 0.219141 SUCCESS 114
110111000  226  247  252  211  241  256  227  245  8.222848 0.412010 SUCCESS 115
110111010  244  262  228  268  250  215  235  235  9.315909 0.316351 SUCCESS 116
110111100  271  255  230  258  256  239  244  254  6.343885 0.608771 SUCCESS 117
111000000  246  236  236  239  236  261  222  218  7.137201 0.521905 SUCCESS 118
111000010  232  221  222  238  262  214  252  239 10.693886 0.219654 SUCCESS 119
111000100  238  261  225  223  276  261  238  256 11.073068 0.197593 SUCCESS 120
111000110  247  251  232  240  240  228  276  242  6.427559 0.599454 SUCCESS 121
111001000  225  247  236  281  268  232  257  254 11.778474 0.161365 SUCCESS 122
111001010  244  257  257  250  254  219  239  251  4.950020 0.762904 SUCCESS 123
111001100  271  229  249  243  214  232  233  239  9.238590 0.322570 SUCCESS 124
111010000  230  233  254  259  246  237  230  209  9.022520 0.340400 SUCCESS 125
111010010  220  263  249  240  218  260  248  255  8.671935 0.370722 SUCCESS 126
