		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  243  233  272  251  240  246  244  224  5.824893 0.666839 SUCCESS   0
000000011  264  263  260  261  241  261  260  255  8.273688 0.407202 SUCCESS   1
000000101  226  248  221  220  264  235  223  229 11.073068 0.197593 SUCCESS   2
000000111  251  239  261  280  259  265  261  240 11.032820 0.199846 SUCCESS   3
000001001  222  249  265  241  284  251  255  226 12.891659 0.115632 SUCCESS   4
000001011  244  262  240  233  244  240  234  235  2.809442 0.945741 SUCCESS   5
000001101  255  251  254  205  276  269  237  264 16.414451 0.036818 SUCCESS   6
000001111  249  253  264  250  265  252  232  248  5.049582 0.752264 SUCCESS   7
000010001  248  206  251  244  236  255  257  247  7.940050 0.439348 SUCCESS   8
000010011  260  254  262  237  260  246  256  249  4.830334 0.775547 SUCCESS   9
000010101  236  235  254  251  222  231  254  239  4.574016 0.801983 SUCCESS  10
000010111  226  226  266  247  262  224  234  230  9.195164 0.326101 SUCCESS  11
000011001  259  257  241  236  220  252  229  248  5.722153 0.678322 SUCCESS  12
000011011  232  250  256  237  261  254  216  263  8.061855 0.427451 SUCCESS  13
000011101  238  246  244  261  227  250  262  232  4.745601 0.784388 SUCCESS  14
000011111  254  268  262  231  260  247  236  274 10.075333 0.259778 SUCCESS  15
000100011  274  218  243  237  224  224  253  257 11.361162 0.182063 SUCCESS  16
000100101  221  244  259  242  265  236  260  238  6.574783 0.583125 SUCCESS  17
000100111  244  250  229  252  246  270  269  251  7.051409 0.531096 SUCCESS  18
000101001  243  269  258  274  215  217  232  238 14.716605 0.064896 SUCCESS  19
000101011  232  235  255  253  243  227  245  268  5.476426 0.705650 SUCCESS  20
000101101  266  255  227  253  246  242  260  221  7.471898 0.486676 SUCCESS  21
000101111  249  230  260  241  259  240  247  229  4.068793 0.850864 SUCCESS  22
