		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2441.390625	M = 1250000	N = 8	m = 9	n = 10000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2508 2529 2496 2455 2453 2509 2487 2433  9.378308 0.311394 SUCCESS   0
000000011 2473 2517 2479 2421 2473 2528 2430 2475  7.755584 0.457702 SUCCESS   1
000000101 2486 2461 2420 2544 2460 2460 2492 2485  7.844819 0.448774 SUCCESS   2
000000111 2421 2452 2426 2483 2390 2526 2442 2408  5.682051 0.682797 SUCCESS   3
000001001 2388 2541 2541 2376 2518 2435 2454 2400 14.723517 0.064750 SUCCESS   4
000001011 2454 2373 2404 2475 2399 2498 2472 2408  6.108168 0.635117 SUCCESS   5
000001101 2442 2520 2435 2397 2412 2437 2429 2518  6.396010 0.602964 SUCCESS   6
000001111 2413 2464 2412 2530 2352 2478 2386 2443  9.504667 0.301525 SUCCESS   7
000010001 2433 2517 2521 2445 2482 2377 2356 2545 15.234897 0.054736 SUCCESS   8
000010011 2488 2422 2489 2475 2522 2336 2474 2447 10.441090 0.235421 SUCCESS   9
000010101 2410 2514 2501 2453 2546 2510 2450 2449 10.900081 0.207425 SUCCESS  10
000010111 2437 2368 2393 2428 2460 2396 2578 2435 12.301598 0.138246 SUCCESS  11
000011001 2343 2400 2526 2466 2465 2445 2381 2519 12.455363 0.132014 SUCCESS  12
000011011 2449 2428 2449 2359 2392 2508 2478 2455  6.560499 0.584705 SUCCESS  13
000011101 2460 2453 2418 2466 2345 2516 2483 2406  8.251076 0.409337 SUCCESS  14
000011111 2331 2493 2400 2433 2398 2439 2461 2501  9.515338 0.300702 SUCCESS  15
000100011 2362 2468 2509 2412 2425 2420 2336 2467 10.564139 0.227639 SUCCESS  16
000100101 2471 2398 2477 2416 2452 2483 2412 2418  3.358410 0.909896 SUCCESS  17
000100111 2422 2483 2451 2453 2504 2322 2548 2453 13.561094 0.093947 SUCCESS  18
000101001 2555 2419 2393 2469 2459 2448 2461 2483  8.042049 0.429373 SUCCESS  19
000101011 2403 2498 2502 2372 2474 2449 2429 2436  6.130834 0.632579 SUCCESS  20
000101101 2463 2321 2481 2468 2409 2461 2482 2449  8.633713 0.374131 SUCCESS  21
000101111 2478 2394 2385 2325 2459 2435 2538 2405 13.269836 0.102897 SUCCESS  22
000110011 2458 2425 2486 2412 2460 2374 2396 2485  5.189168 0.737180 SUCCESS  23
000110101 2425 2432 2372 2479 2491 2407 2328 2380 11.378176 0.181178 SUCCESS  24
000110111 2477 2447 2383 2364 2378 2508 2423 2349 11.874409 0.156896 SUCCESS  25
000111001 2513 2470 2367 2396 2528 2408 2441 2431  9.432908 0.307102 SUCCESS  26
000111011 2437 2494 2450 2507 2400 2448 2483 2313 11.497518 0.175070 SUCCESS  27
000111101 2425 2446 2443 2526 2386 2423 2429 2433  4.694867 0.789635 SUCCESS  28
000111111 2383 2420 2424 2483 2371 2385 2365 2552 13.602044 0.092746 SUCCESS  29
001000011 2394 2427 2409 2490 2383 2478 2458 2531  8.015954 0.431913 SUCCESS  30
001000101 2501 2462 2392 2408 2515 2413 2379 2506  9.245992 0.321971 SUCCESS  31
001000111 2427 2506 2434 2385 2467 2478 2374 2481  6.661093 0.573600 SUCCESS  32
001001011 2484 2399 2540 2362 2454 2413 2451 2454  8.835816 0.356335 SUCCESS  33
001001101 2444 2470 2438 2447 2419 2452 2425 2519  3.293602 0.914605 SUCCESS  34
001001111 2434 2435 2411 2416 2437 2414 2534 2467  4.942329 0.763722 SUCCESS  35
001010011 2505 2521 2444 2480 2467 2416 2472 2454  6.049013 0.641742 SUCCESS  36
001010101 2484 2480 2565 2527 2512 2530 2444 2437 16.428910 0.036637 SUCCESS  37
001010111 2430 2433 2504 2421 2489 2485 2343 2490  8.790192 0.360303 SUCCESS  38
001011011 2491 2371 2542 2432 2428 2431 2463 2421  7.963406 0.437053 SUCCESS  39
001011101 2356 2413 2459 2403 2433 2424 2471 2365  7.188188 0.516472 SUCCESS  40
001011111 2421 2298 2427 2383 2513 2457 2493 2432 13.860891 0.085464 SUCCESS  41
001100101 2400 2498 2465 2479 2443 2400 2415 2584 12.557215 0.128020 SUCCESS  42
001100111 2427 2379 2451 2423 2406 2404 2420 2462  3.416068 0.905605 SUCCESS  43
001101011 2409 2402 2424 2434 2353 2430 2385 2438  5.970264 0.650563 SUCCESS  44
001101101 2479 2455 2399 2458 2383 2422 2391 2507  6.059195 0.640601 SUCCESS  45
001101111 2463 2457 2392 2329 2405 2516 2419 2355 12.979982 0.112540 SUCCESS  46
001110101 2432 2432 2388 2424 2412 2431 2463 2404  2.612398 0.956283 SUCCESS  47
001110111 2480 2443 2447 2431 2366 2459 2462 2288 13.379394 0.099446 SUCCESS  48
001111011 2426 2443 2337 2542 2310 2443 2533 2452 19.925076 0.010623 SUCCESS  49
001111101 2393 2398 2411 2435 2452 2481 2442 2402  3.568244 0.893829 SUCCESS  50
001111111 2452 2306 2392 2376 2329 2404 2423 2497 18.056215 0.020809 SUCCESS  51
010000011 2446 2487 2452 2491 2439 2451 2459 2513  4.326131 0.826566 SUCCESS  52
010000111 2460 2430 2374 2407 2443 2419 2528 2464  6.234924 0.620935 SUCCESS  53
010001011 2464 2378 2404 2434 2515 2454 2395 2433  5.839007 0.665260 SUCCESS  54
